7, 3976,  276;
$9,  258,  601, HL’bš’’‚ŠÚj
$8, 2919, 3976, 3976,  276;
$9,  254,  603,  102,32201;
$1,  835, 1187, 3115,  324;
$2, 2073, 2018, 1984,  165;
$3,17185,41223,17185,41223;
$4,23167,60287,60160,  165;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1181,  833, 1181,  833;
$8, 2919, 3976, 3976,  276;
$9,  256,  599,  102,32201;
$1,  835, 1190, 3111,  325;
$2, 2075, 2024, 1985,  164;
$3,17185,41223,17185,41223;
$4,23423,60287,59136,  164;
$5,65535,    1,53188,    0;
$6, 2237, 2068, 2237, 2068;
$7, 1199,  834, 1199,  834;
$8, 2924, 3976, 3977,  275;
$9,  249,  600,  102,32201;
$1,  835, 1188, 3128,  323;
$2, 2077, 2015, 1979,  166;
$3,17185,41223,17185,41223;
$4,22911,59775,58624,  166;
$5,65535,    1,53188,    0;
$6, 2235, 2070, 2235, 2070;
$7, 1188,  833, 1188,  833;
$8, 2923, 3976, 3977,  276;
$9,  258,  600,  102,32201;
$1,  835, 1187, 3113,  324;
$2, 2067, 2020, 1979,  165;
$3,17185,41223,17185,41223;
$4,22399,59775,58880,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1192,  829, 1192,  829;
$8, 2919, 3976, 3976,  275;
$9,  258,  605,  102,32201;
$1,  835, 1188, 3117,  323;
$2, 2063, 2015, 1977,  165;
$3,17185,41223,17185,41223;
$4,22911,60799,57856,  165;
$5,65535,    1,53188,    0;
$6, 2237, 2070, 2237, 2070;
$7, 1198,  835, 1198,  835;
$8, 2933, 3977, 3976,  276;
$9,  257,  603,  102,32201;
$1,  835, 1188, 3115,  327;
$2, 2072, 2019, 1983,  163;
$3,17185,41223,17185,41223;
$4,23423,59519,59136,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1188,  836, 1188,  836;
$8, 2928, 3977, 3976,  276;
$9,  248,  601,  102,32201;
$1,  835, 1188, 3109,  324;
$2, 2073, 2017, 1975,  164;
$3,17185,41223,17185,41223;
$4,22911,60543,59136,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1192,  834, 1192,  834;
$8, 2919, 3976, 3977,  276;
$9,  254,  599,  102,32201;
$1,  835, 1188, 3122,  326;
$2, 2069, 2018, 1985,  165;
$3,17185,41223,17185,41223;
$4,23167,60543,59136,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1195,  836, 1195,  836;
$8, 2918, 3977, 3977,  276;
$9,  257,  594,  102,32201;
$1,  836, 1187, 3119,  324;
$2, 2074, 2019, 1987,  166;
$3,17185,41223,17185,41223;
$4,23167,60031,58112,  166;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1197,  826, 1197,  826;
$8, 2918, 3976, 3976,  276;
$9,  254,  596,  102,32201;
$1,  835, 1189, 3119,  324;
$2, 2073, 2017, 1983,  166;
$3,17185,41223,17185,41223;
$4,23423,60799,59136,  166;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1192,  833, 1192,  833;
$8, 2919, 3977, 3977,  276;
$9,  256,  609,  102,32201;
$1,  835, 1187, 3112,  322;
$2, 2072, 2020, 1980,  162;
$3,17185,41223,17185,41223;
$4,23167,60031,58624,  162;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1197,  833, 1197,  833;
$8, 2919, 3976, 3976,  275;
$9,  254,  593,  102,32201;
$1,  835, 1188, 3121,  321;
$2, 2073, 2019, 1985,  165;
$3,17185,41223,17185,41223;
$4,22399,61055,57856,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1192,  834, 1192,  834;
$8, 2928, 3977, 3976,  276;
$9,  248,  604,  102,32201;
$1,  835, 1188, 3126,  325;
$2, 2067, 2021, 1990,  165;
$3,17185,41223,17185,41223;
$4,23423,60287,58624,  165;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1193,  834, 1193,  834;
$8, 2924, 3976, 3976,  276;
$9,  248,  600,  102,32201;
$1,  835, 1188, 3126,  322;
$2, 2069, 2019, 1981,  165;
$3,17185,41223,17185,41223;
$4,22911,60031,59648,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1197,  826, 1197,  826;
$8, 2918, 3977, 3976,  276;
$9,  257,  596,  102,32201;
$1,  835, 1188, 3120,  327;
$2, 2077, 2024, 1982,  165;
$3,17185,41223,17185,41223;
$4,23935,60543,58624,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1189,  833, 1189,  833;
$8, 2919, 3976, 3976,  276;
$9,  258,  595,  102,32201;
$1,  835, 1187, 3114,  325;
$2, 2082, 2015, 1984,  163;
$3,17185,41223,17185,41223;
$4,23167,61055,59392,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  834, 1195,  834;
$8, 2924, 3976, 3976,  276;
$9,  250,  600,  102,32201;
$1,  835, 1188, 3085,  323;
$2, 2073, 2020, 1988,  166;
$3,17185,41223,17185,41223;
$4,22911,61055,59648,  166;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1188,  830, 1188,  830;
$8, 2923, 3976, 3976,  276;
$9,  252,  597,  102,32201;
$1,  835, 1187, 3123,  326;
$2, 2070, 2019, 1984,  163;
$3,17185,41223,17185,41223;
$4,23423,61055,33536,  163;
$5,65535,    1,53188,    0;
$6, 2235, 2070, 2235, 2070;
$7, 1193,  835, 1193,  835;
$8, 2919, 3977, 3977,  276;
$9,  258,  606,  102,32201;
$1,  835, 1187, 3109,  325;
$2, 2073, 2024, 1986,  166;
$3,17185,41223,17185,41223;
$4,56703,60799,58880,  166;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1189,  835, 1189,  835;
$8, 2919, 3976, 3975,  276;
$9,  254,  597,  102,32201;
$1,  835, 1188, 3120,  325;
$2, 2071, 2019, 1979,  166;
$3,17185,41223,17185,41223;
$4,22911,60799,58624,  166;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1189,  831, 1189,  831;
$8, 2919, 3976, 3977,  276;
$9,  252,  602,  102,32201;
$1,  835, 1187, 3104,  329;
$2, 2071, 2019, 1980,  163;
$3,17185,41223,17185,41223;
$4,22399,60799,59392,  163;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1195,  834, 1195,  834;
$8, 2924, 3975, 3977,  276;
$9,  248,  594,  102,32201;
$1,  835, 1187, 3117,  325;
$2, 2075, 2020, 1985,  163;
$3,17185,41223,17185,41223;
$4,22911,60287,58624,  163;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1184,  835, 1184,  835;
$8, 2919, 3977, 3976,  276;
$9,  258,  596,  102,32201;
$1,  835, 1187, 3130,  325;
$2, 2073, 2019, 1987,  166;
$3,17185,41223,17185,41223;
$4,23423,60543,58880,  166;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  835, 1195,  835;
$8, 2919, 3977, 3976,  276;
$9,  257,  592,  102,32201;
$1,  835, 1187, 3122,  324;
$2, 2070, 2015, 1983,  166;
$3,17185,41223,17185,41223;
$4,23423,60287,58624,  166;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1188,  833, 1188,  833;
$8, 2923, 3976, 3976,  276;
$9,  258,  600,  102,32201;
$1,  834, 1188, 3092,  328;
$2, 2077, 2021, 1982,  163;
$3,17185,41223,17185,41223;
$4,23423,60031,59648,  163;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1192,  831, 1192,  831;
$8, 2919, 3976, 3976,  276;
$9,  258,  600,  102,32201;
$1,  835, 1188, 3112,  324;
$2, 2073, 2024, 1978,  165;
$3,17185,41223,17185,41223;
$4,22911,60799,60672,  165;
$5,65535,    1,53188,    0;
$6, 2235, 2069, 2235, 2069;
$7, 1194,  835, 1194,  835;
$8, 2933, 3977, 3976,  276;
$9,  257,  591,  102,32201;
$1,  835, 1188, 3117,  325;
$2, 2073, 2018, 1985,  163;
$3,17185,41223,17185,41223;
$4,24447,60287,60160,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1198,  833, 1198,  833;
$8, 2930, 3977, 3976,  276;
$9,  257,  598,  102,32201;
$1,  835, 1188, 3115,  328;
$2, 2072, 2020, 1984,  164;
$3,17185,41223,17185,41223;
$4,22911,60799,58880,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1192,  833, 1192,  833;
$8, 2919, 3977, 3977,  276;
$9,  252,  595,  102,32201;
$1,  835, 1188, 3103,  327;
$2, 2073, 2021, 1981,  163;
$3,17185,41223,17185,41223;
$4,23423,60031,59136,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  830, 1195,  830;
$8, 2923, 3977, 3976,  276;
$9,  257,  601,  102,32201;
$1,  835, 1187, 3122,  326;
$2, 2077, 2024, 1983,  165;
$3,17185,41223,17185,41223;
$4,23167,60031,58624,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1190,  832, 1190,  832;
$8, 2927, 3976, 3976,  276;
$9,  258,  596,  102,32201;
$1,  835, 1188, 3119,  324;
$2, 2078, 2019, 1985,  165;
$3,17185,41223,17185,41223;
$4,23423,61311,58112,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1192,  835, 1192,  835;
$8, 2919, 3977, 3977,  276;
$9,  251,  594,  102,32201;
$1,  835, 1187, 3127,  324;
$2, 2072, 2019, 1983,  163;
$3,17185,41223,17185,41223;
$4,23167,60543,59136,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1192,  830, 1192,  830;
$8, 2923, 3976, 3976,  276;
$9,  258,  599,  102,32201;
$1,  835, 1187, 3119,  323;
$2, 2067, 2015, 1984,  162;
$3,17185,41223,17185,41223;
$4,23167,60799,59136,  162;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1188,  833, 1188,  833;
$8, 2922, 3977, 3976,  276;
$9,  257,  600,  102,32201;
$1,  835, 1187, 3104,  324;
$2, 2073, 2021, 1981,  168;
$3,17185,41223,17185,41223;
$4,22399,60287,35584,  168;
$5,65535,    1,53188,    0;
$6, 2237, 2068, 2237, 2068;
$7, 1193,  835, 1193,  835;
$8, 2919, 3976, 3977,  276;
$9,  258,  593,  102,32201;
$1,  835, 1190, 3116,  319;
$2, 2072, 2018, 1987,  164;
$3,17185,41223,17185,41223;
$4,56191,60543,58624,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1188,  835, 1188,  835;
$8, 2919, 3977, 3976,  276;
$9,  254,  599,  102,32201;
$1,  835, 1187, 3125,  325;
$2, 2072, 2021, 1983,  164;
$3,17185,41223,17185,41223;
$4,22911,60543,59648,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1192,  834, 1192,  834;
$8, 2919, 3976, 3977,  276;
$9,  252,  605,  102,32201;
$1,  835, 1190, 3121,  324;
$2, 2075, 2021, 1981,  164;
$3,17185,41223,17185,41223;
$4,22911,60799,58624,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1188,  833, 1188,  833;
$8, 2923, 3977, 3977,  276;
$9,  257,  595,  102,32201;
$1,  835, 1189, 3119,  328;
$2, 2073, 2015, 1979,  166;
$3,17185,41223,17185,41223;
$4,22399,60031,59136,  166;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  828, 1195,  828;
$8, 2918, 3976, 3977,  276;
$9,  257,  606,  102,32201;
$1,  835, 1188, 3083,  322;
$2, 2074, 2015, 1982,  166;
$3,17185,41223,17185,41223;
$4,22911,60799,58880,  166;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1195,  832, 1195,  832;
$8, 2928, 3977, 3977,  276;
$9,  246,  597,  102,32201;
$1,  835, 1187, 3109,  325;
$2, 2064, 2017, 1988,  165;
$3,17185,41223,17185,41223;
$4,23423,59775,58880,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1192,  836, 1192,  836;
$8, 2919, 3977, 3977,  276;
$9,  254,  596,  102,32201;
$1,  835, 1187, 3120,  324;
$2, 2075, 2019, 1978,  164;
$3,17185,41223,17185,41223;
$4,22911,60287,59904,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  833, 1195,  833;
$8, 2919, 3976, 3977,  276;
$9,  257,  598,  102,32201;
$1,  835, 1188, 3115,  321;
$2, 2069, 2021, 1981,  165;
$3,17185,41223,17185,41223;
$4,23167,60799,59136,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1188,  832, 1188,  832;
$8, 2923, 3976, 3976,  275;
$9,  250,  592,  102,32201;
$1,  835, 1188, 3113,  322;
$2, 2069, 2015, 1979,  164;
$3,17185,41223,17185,41223;
$4,23423,60287,58624,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1193,  835, 1193,  835;
$8, 2919, 3977, 3977,  276;
$9,  258,  596,  102,32201;
$1,  835, 1188, 3106,  327;
$2, 2074, 2019, 1978,  168;
$3,17185,41223,17185,41223;
$4,23423,60031,59136,  168;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  834, 1195,  834;
$8, 2926, 3977, 3977,  276;
$9,  257,  600,  102,32201;
$1,  835, 1189, 3117,  325;
$2, 2073, 2015, 1984,  168;
$3,17185,41223,17185,41223;
$4,23935,60543,58112,  168;
$5,65535,    1,53188,    0;
$6, 2237, 2068, 2237, 2068;
$7, 1198,  832, 1198,  832;
$8, 2931, 3977, 3977,  276;
$9,  258,  599,  102,32201;
$1,  835, 1189, 3118,  323;
$2, 2077, 2024, 1982,  166;
$3,17185,41223,17185,41223;
$4,23423,60031,59392,  166;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1193,  835, 1193,  835;
$8, 2919, 3977, 3977,  276;
$9,  253,  598,  102,32201;
$1,  835, 1188, 3165,  325;
$2, 2069, 2019, 1978,  163;
$3,17185,41223,17185,41223;
$4,22911,60031,58624,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1197,  832, 1197,  832;
$8, 2928, 3976, 3977,  276;
$9,  246,  591,  102,32201;
$1,  834, 1187, 3108,  323;
$2, 2076, 2019, 1982,  163;
$3,17185,41223,17185,41223;
$4,23935,60031,59904,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  834, 1195,  834;
$8, 2924, 3977, 3977,  276;
$9,  248,  603,  102,32201;
$1,  835, 1190, 3113,  328;
$2, 2080, 2015, 1990,  166;
$3,17185,41223,17185,41223;
$4,22399,60287,59904,  166;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1198,  832, 1198,  832;
$8, 2923, 3976, 3976,  276;
$9,  258,  600,  102,32201;
$1,  835, 1188, 3059,  323;
$2, 2075, 2015, 1983,  163;
$3,17185,41223,17185,41223;
$4,23167,60287,58368,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1189,  833, 1189,  833;
$8, 2919, 3975, 3977,  276;
$9,  254,  603,  102,32201;
$1,  835, 1188, 3107,  322;
$2, 2073, 2018, 1987,  165;
$3,17185,41223,17185,41223;
$4,22143,60799,57856,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1192,  832, 1192,  832;
$8, 2928, 3976, 3976,  276;
$9,  247,  602,  102,32201;
$1,  835, 1188, 3141,  324;
$2, 2069, 2017, 1988,  165;
$3,17185,41223,17185,41223;
$4,23167,60287,59136,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1189,  834, 1189,  834;
$8, 2918, 3976, 3977,  276;
$9,  251,  598,  102,32201;
$1,  835, 1187, 3116,  324;
$2, 2075, 2015, 1983,  165;
$3,17185,41223,17185,41223;
$4,23167,60287,57856,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1193,  834, 1193,  834;
$8, 2918, 3977, 3976,  276;
$9,  256,  592,  102,32201;
$1,  836, 1187, 3119,  325;
$2, 2073, 2015, 1979,  165;
$3,17185,41223,17185,41223;
$4,23423,59775,59392,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1195,  834, 1195,  834;
$8, 2924, 3977, 3976,  276;
$9,  248,  602,  102,32201;
$1,  835, 1188, 3109,  326;
$2, 2065, 2019, 1987,  164;
$3,17185,41223,17185,41223;
$4,22655,60287,59904,  164;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1193,  835, 1193,  835;
$8, 2919, 3977, 3977,  276;
$9,  258,  598,  102,32201;
$1,  835, 1188, 3138,  324;
$2, 2074, 2020, 1987,  163;
$3,17185,41223,17185,41223;
$4,23423,60543,59136,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  833, 1195,  833;
$8, 2919, 3976, 3976,  276;
$9,  258,  603,  102,32201;
$1,  835, 1187, 3118,  324;
$2, 2066, 2015, 1985,  164;
$3,17185,41223,17185,41223;
$4,22399,60287,61184,  164;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1193,  835, 1193,  835;
$8, 2919, 3977, 3976,  276;
$9,  258,  605,  102,32201;
$1,  835, 1188, 3120,  324;
$2, 2077, 2019, 1980,  163;
$3,17185,41223,17185,41223;
$4,23423,60543,58624,  163;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1195,  833, 1195,  833;
$8, 2919, 3977, 3976,  276;
$9,  257,  593,  102,32201;
$1,  834, 1187, 3119,  323;
$2, 2066, 2020, 1979,  165;
$3,17185,41223,17185,41223;
$4,22911,60543,59648,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1193,  832, 1193,  832;
$8, 2923, 3977, 3977,  276;
$9,  258,  592,  102,32201;
$1,  835, 1190, 3116,  327;
$2, 2072, 2019, 1977,  165;
$3,17185,41223,17185,41223;
$4,23423,60799,58368,  165;
$5,65535,    1,53188,    0;
$6, 2237, 2070, 2237, 2070;
$7, 1197,  836, 1197,  836;
$8, 2924, 3976, 3976,  276;
$9,  248,  604,  102,32201;
$1,  835, 1187, 3092,  322;
$2, 2080, 2020, 1987,  165;
$3,17185,41223,17185,41223;
$4,23167,59775,60160,  165;
$5,65535,    1,53188,    0;
$6, 2237, 2069, 2237, 2069;
$7, 1193,  834, 1193,  834;
$8, 2924, 3977, 3976,  276;
$9,  248,  602,  102,32201;
$1,  834, 1188, 3128,  326;
$2, 2069, 2021, 1983,  164;
$3,17185,41223,17185,41223;
$4,22911,59775,58880,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1192,  833, 1192,  833;
$8, 2919, 3976, 3976,  276;
$9,  254,  604,  102,32201;
$1,  834, 1188, 3122,  325;
$2, 2080, 2019, 1985,  163;
$3,17185,41223,17185,41223;
$4,23423,60287,59392,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1197,  833, 1197,  833;
$8, 2919, 3977, 3977,  276;
$9,  258,  589,  102,32201;
$1,  834, 1187, 3133,  326;
$2, 2081, 2020, 1979,  166;
$3,17185,41223,17185,41223;
$4,23167,60031,59136,  166;
$5,65535,    1,53188,    0;
$6, 2236, 2070, 2236, 2070;
$7, 1188,  829, 1188,  829;
$8, 2919, 3977, 3977,  276;
$9,  257,  592,  102,32201;
$1,  834, 1188, 3121,  328;
$2, 2069, 2015, 1979,  163;
$3,17185,41223,17185,41223;
$4,23423,59775,59136,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1194,  835, 1194,  835;
$8, 2927, 3976, 3976,  276;
$9,  258,  596,  102,32201;
$1,  834, 1188, 3081,  328;
$2, 2078, 2019, 1985,  164;
$3,17185,41223,17185,41223;
$4,23423,60031,58624,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1195,  832, 1195,  832;
$8, 2928, 3977, 3976,  276;
$9,  246,  596,  102,32201;
$1,  835, 1188, 3135,  323;
$2, 2075, 2021, 1979,  164;
$3,17185,41223,17185,41223;
$4,23423,60031,59392,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1188,  832, 1188,  832;
$8, 2923, 3977, 3977,  276;
$9,  257,  599,  102,32201;
$1,  835, 1187, 3128,  323;
$2, 2075, 2024, 1987,  163;
$3,17185,41223,17185,41223;
$4,22911,60799,59904,  163;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1188,  834, 1188,  834;
$8, 2928, 3976, 3976,  276;
$9,  248,  600,  102,32201;
$1,  835, 1188, 3145,  327;
$2, 2067, 2018, 1985,  165;
$3,17185,41223,17185,41223;
$4,22911,60287,58112,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1192,  835, 1192,  835;
$8, 2919, 3976, 3977,  276;
$9,  250,  601,  102,32201;
$1,  835, 1187, 3115,  328;
$2, 2066, 2019, 1987,  166;
$3,17185,41223,17185,41223;
$4,23423,61055,59136,  166;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1193,  834, 1193,  834;
$8, 2918, 3977, 3976,  276;
$9,  257,  595,  102,32201;
$1,  835, 1187, 3116,  327;
$2, 2073, 2020, 1986,  164;
$3,17185,41223,17185,41223;
$4,23167,60287,58624,  164;
$5,65535,    1,53188,    0;
$6, 2236, 2069, 2236, 2069;
$7, 1189,  834, 1189,  834;
$8, 2924, 3976, 3976,  276;
$9,  253,  593,  102,32201;
$1,  834, 1187, 3111,  326;
$2, 2069, 2015, 1978,  165;
$3,17185,41223,17185,41223;
$4,23167,60287,59904,  165;
$5,65535,    1,53188,    0;
$6, 2236, 2068, 2236, 2068;
$7, 1194,  835, 1194,  835;
$8, 2933, 3977, 3976,  276;
$9,  257,  594,  102,32201;
